Comunidades  autónomas;Gastos y duración media de los viajes;Tipo de dato;Periodo;Total
01 Andalucía;Gasto total;Dato base;2023M12;882,21
01 Andalucía;Gasto total;Dato base;2023M11;920,55
01 Andalucía;Gasto total;Dato base;2023M10;1.499,58
01 Andalucía;Gasto total;Dato base;2023M09;1.625,73
01 Andalucía;Gasto total;Dato base;2023M08;1.975,34
01 Andalucía;Gasto total;Dato base;2023M07;1.843,90
01 Andalucía;Gasto total;Dato base;2023M06;1.424,55
01 Andalucía;Gasto total;Dato base;2023M05;1.428,25
01 Andalucía;Gasto total;Dato base;2023M04;1.328,45
01 Andalucía;Gasto total;Dato base;2023M03;989,75
01 Andalucía;Gasto total;Dato base;2023M02;722,08
01 Andalucía;Gasto total;Dato base;2023M01;674,59
01 Andalucía;Gasto total;Tasa de variación anual;2023M12;23,70
01 Andalucía;Gasto total;Tasa de variación anual;2023M11;22,75
01 Andalucía;Gasto total;Tasa de variación anual;2023M10;21,16
01 Andalucía;Gasto total;Tasa de variación anual;2023M09;34,53
01 Andalucía;Gasto total;Tasa de variación anual;2023M08;16,72
01 Andalucía;Gasto total;Tasa de variación anual;2023M07;24,17
01 Andalucía;Gasto total;Tasa de variación anual;2023M06;20,92
01 Andalucía;Gasto total;Tasa de variación anual;2023M05;24,31
01 Andalucía;Gasto total;Tasa de variación anual;2023M04;36,18
01 Andalucía;Gasto total;Tasa de variación anual;2023M03;31,92
01 Andalucía;Gasto total;Tasa de variación anual;2023M02;52,43
01 Andalucía;Gasto total;Tasa de variación anual;2023M01;79,19
01 Andalucía;Gasto total;Acumulado en lo que va de año;2023M12;15.314,99
01 Andalucía;Gasto total;Acumulado en lo que va de año;2023M11;14.432,78
01 Andalucía;Gasto total;Acumulado en lo que va de año;2023M10;13.512,23
01 Andalucía;Gasto total;Acumulado en lo que va de año;2023M09;12.012,65
01 Andalucía;Gasto total;Acumulado en lo que va de año;2023M08;10.386,92
01 Andalucía;Gasto total;Acumulado en lo que va de año;2023M07;8.411,58
01 Andalucía;Gasto total;Acumulado en lo que va de año;2023M06;6.567,67
01 Andalucía;Gasto total;Acumulado en lo que va de año;2023M05;5.143,13
01 Andalucía;Gasto total;Acumulado en lo que va de año;2023M04;3.714,88
01 Andalucía;Gasto total;Acumulado en lo que va de año;2023M03;2.386,43
01 Andalucía;Gasto total;Acumulado en lo que va de año;2023M02;1.396,67
01 Andalucía;Gasto total;Acumulado en lo que va de año;2023M01;674,59
01 Andalucía;Gasto total;Tasa de variación acumulada;2023M12;27,74
01 Andalucía;Gasto total;Tasa de variación acumulada;2023M11;27,99
01 Andalucía;Gasto total;Tasa de variación acumulada;2023M10;28,36
01 Andalucía;Gasto total;Tasa de variación acumulada;2023M09;29,32
01 Andalucía;Gasto total;Tasa de variación acumulada;2023M08;28,54
01 Andalucía;Gasto total;Tasa de variación acumulada;2023M07;31,68
01 Andalucía;Gasto total;Tasa de variación acumulada;2023M06;33,95
01 Andalucía;Gasto total;Tasa de variación acumulada;2023M05;38,07
01 Andalucía;Gasto total;Tasa de variación acumulada;2023M04;44,21
01 Andalucía;Gasto total;Tasa de variación acumulada;2023M03;49,11
01 Andalucía;Gasto total;Tasa de variación acumulada;2023M02;64,28
01 Andalucía;Gasto total;Tasa de variación acumulada;2023M01;79,19
01 Andalucía;Gasto medio por persona;Dato base;2023M12;1.412
01 Andalucía;Gasto medio por persona;Dato base;2023M11;1.287
01 Andalucía;Gasto medio por persona;Dato base;2023M10;1.212
01 Andalucía;Gasto medio por persona;Dato base;2023M09;1.250
01 Andalucía;Gasto medio por persona;Dato base;2023M08;1.347
01 Andalucía;Gasto medio por persona;Dato base;2023M07;1.371
01 Andalucía;Gasto medio por persona;Dato base;2023M06;1.232
01 Andalucía;Gasto medio por persona;Dato base;2023M05;1.180
01 Andalucía;Gasto medio por persona;Dato base;2023M04;1.152
01 Andalucía;Gasto medio por persona;Dato base;2023M03;1.235
01 Andalucía;Gasto medio por persona;Dato base;2023M02;1.180
01 Andalucía;Gasto medio por persona;Dato base;2023M01;1.188
01 Andalucía;Gasto medio por persona;Tasa de variación anual;2023M12;5,68
01 Andalucía;Gasto medio por persona;Tasa de variación anual;2023M11;1,59
01 Andalucía;Gasto medio por persona;Tasa de variación anual;2023M10;2,63
01 Andalucía;Gasto medio por persona;Tasa de variación anual;2023M09;13,86
01 Andalucía;Gasto medio por persona;Tasa de variación anual;2023M08;3,15
01 Andalucía;Gasto medio por persona;Tasa de variación anual;2023M07;3,64
01 Andalucía;Gasto medio por persona;Tasa de variación anual;2023M06;5,59
01 Andalucía;Gasto medio por persona;Tasa de variación anual;2023M05;6,83
01 Andalucía;Gasto medio por persona;Tasa de variación anual;2023M04;7,27
01 Andalucía;Gasto medio por persona;Tasa de variación anual;2023M03;0,37
01 Andalucía;Gasto medio por persona;Tasa de variación anual;2023M02;5,87
01 Andalucía;Gasto medio por persona;Tasa de variación anual;2023M01;2,11
01 Andalucía;Gasto medio por persona;Acumulado en lo que va de año;2023M12;1.256
01 Andalucía;Gasto medio por persona;Acumulado en lo que va de año;2023M11;1.248
01 Andalucía;Gasto medio por persona;Acumulado en lo que va de año;2023M10;1.245
01 Andalucía;Gasto medio por persona;Acumulado en lo que va de año;2023M09;1.250
01 Andalucía;Gasto medio por persona;Acumulado en lo que va de año;2023M08;1.250
01 Andalucía;Gasto medio por persona;Acumulado en lo que va de año;2023M07;1.229
01 Andalucía;Gasto medio por persona;Acumulado en lo que va de año;2023M06;1.194
01 Andalucía;Gasto medio por persona;Acumulado en lo que va de año;2023M05;1.184
01 Andalucía;Gasto medio por persona;Acumulado en lo que va de año;2023M04;1.185
01 Andalucía;Gasto medio por persona;Acumulado en lo que va de año;2023M03;1.204
01 Andalucía;Gasto medio por persona;Acumulado en lo que va de año;2023M02;1.184
01 Andalucía;Gasto medio por persona;Acumulado en lo que va de año;2023M01;1.188
01 Andalucía;Gasto medio por persona;Tasa de variación acumulada;2023M12;4,89
01 Andalucía;Gasto medio por persona;Tasa de variación acumulada;2023M11;4,87
01 Andalucía;Gasto medio por persona;Tasa de variación acumulada;2023M10;5,10
01 Andalucía;Gasto medio por persona;Tasa de variación acumulada;2023M09;5,42
01 Andalucía;Gasto medio por persona;Tasa de variación acumulada;2023M08;4,15
01 Andalucía;Gasto medio por persona;Tasa de variación acumulada;2023M07;4,62
01 Andalucía;Gasto medio por persona;Tasa de variación acumulada;2023M06;5,11
01 Andalucía;Gasto medio por persona;Tasa de variación acumulada;2023M05;5,09
01 Andalucía;Gasto medio por persona;Tasa de variación acumulada;2023M04;4,29
01 Andalucía;Gasto medio por persona;Tasa de variación acumulada;2023M03;2,24
01 Andalucía;Gasto medio por persona;Tasa de variación acumulada;2023M02;4,24
01 Andalucía;Gasto medio por persona;Tasa de variación acumulada;2023M01;2,11
01 Andalucía;Gasto medio diario por persona;Dato base;2023M12;125
01 Andalucía;Gasto medio diario por persona;Dato base;2023M11;156
01 Andalucía;Gasto medio diario por persona;Dato base;2023M10;166
01 Andalucía;Gasto medio diario por persona;Dato base;2023M09;169
01 Andalucía;Gasto medio diario por persona;Dato base;2023M08;156
01 Andalucía;Gasto medio diario por persona;Dato base;2023M07;166
01 Andalucía;Gasto medio diario por persona;Dato base;2023M06;169
01 Andalucía;Gasto medio diario por persona;Dato base;2023M05;158
01 Andalucía;Gasto medio diario por persona;Dato base;2023M04;149
01 Andalucía;Gasto medio diario por persona;Dato base;2023M03;144
01 Andalucía;Gasto medio diario por persona;Dato base;2023M02;129
