Destino;Concepto turístico;Tipo de dato;Periodo;Total
01 Andalucía;Viajes;Valor absoluto;2023;31.796.819
01 Andalucía;Viajes;Distribución porcentual;2023;17,1
01 Andalucía;Viajes;Variación anual;2023;13,07
01 Andalucía;Duración media de los viajes;Valor absoluto;2023;4,13
01 Andalucía;Duración media de los viajes;Distribución porcentual;2023;""
01 Andalucía;Duración media de los viajes;Variación anual;2023;-1,35
01 Andalucía;Pernoctaciones;Valor absoluto;2023;131.476.958
01 Andalucía;Pernoctaciones;Distribución porcentual;2023;16,4
01 Andalucía;Pernoctaciones;Variación anual;2023;11,55
01 Andalucía;Gasto total;Valor absoluto;2023;8.168.803,26
01 Andalucía;Gasto total;Distribución porcentual;2023;13,90
01 Andalucía;Gasto total;Variación anual;2023;17,31
01 Andalucía;Gasto medio por persona;Valor absoluto;2023;256,91
01 Andalucía;Gasto medio por persona;Distribución porcentual;2023;""
01 Andalucía;Gasto medio por persona;Variación anual;2023;3,75
01 Andalucía;Gasto medio diario por persona;Valor absoluto;2023;62,13
01 Andalucía;Gasto medio diario por persona;Distribución porcentual;2023;""
01 Andalucía;Gasto medio diario por persona;Variación anual;2023;5,17
