iter	Passed	Remaining
0	312	312571
1	435	217202
2	560	186227
3	686	171028
4	813	161888
5	963	159625
6	1092	154994
7	1228	152342
8	1346	148275
9	1479	146455
10	1599	143796
11	1732	142640
12	1887	143288
13	2028	142832
14	2180	143154
15	2330	143335
16	2488	143906
17	2654	144826
18	2813	145276
19	2971	145612
20	3131	146003
21	3295	146501
22	3475	147641
23	3658	148788
24	3833	149496
25	3979	149089
26	4122	148553
27	4279	148543
28	4464	149497
29	4606	148952
30	4754	148619
31	4905	148400
32	5056	148157
33	5203	147828
34	5356	147691
35	5504	147392
36	5658	147286
37	5804	146936
38	5936	146290
39	6068	145643
40	6198	144986
41	6329	144377
42	6458	143735
43	6590	143204
44	6731	142855
45	6870	142496
46	7013	142212
47	7147	141765
48	7279	141289
49	7410	140790
50	7541	140325
51	7674	139907
52	7807	139506
53	7938	139070
54	8069	138656
55	8219	138549
56	8373	138530
57	8509	138199
58	8643	137850
59	8776	137502
60	8917	137268
61	9058	137042
62	9201	136847
63	9354	136809
64	9489	136503
65	9627	136238
66	9760	135918
67	9891	135575
68	10023	135249
69	10155	134922
70	10286	134593
71	10426	134382
72	10566	134179
73	10713	134069
74	10852	133849
75	10991	133635
76	11148	133638
77	11285	133399
78	11423	133177
79	11559	132939
80	11699	132738
81	11838	132532
82	11978	132343
83	12118	132143
84	12240	131762
85	12372	131495
86	12504	131225
87	12643	131033
88	12782	130846
89	12923	130671
90	13061	130467
91	13193	130211
92	13354	130238
93	13508	130203
94	13658	130115
95	13798	129933
96	13939	129763
97	14082	129617
98	14228	129498
99	14379	129415
100	14537	129398
101	14687	129311
102	14820	129071
103	14954	128838
104	15090	128628
105	15246	128590
106	15392	128460
107	15537	128330
108	15672	128113
109	15824	128037
110	15969	127903
111	16111	127740
112	16269	127710
113	16408	127524
114	16538	127273
115	16661	126970
116	16785	126679
117	16918	126460
118	17062	126317
119	17199	126127
120	17338	125953
121	17476	125773
122	17610	125566
123	17747	125379
124	17871	125100
125	17998	124847
126	18122	124572
127	18272	124484
128	18416	124344
129	18555	124179
130	18700	124052
131	18837	123874
132	18996	123834
133	19143	123717
134	19289	123592
135	19431	123445
136	19568	123270
137	19711	123128
138	19853	122977
139	19998	122848
140	20170	122880
141	20342	122915
142	20495	122830
143	20653	122773
144	20804	122674
145	20969	122657
146	21116	122532
147	21263	122411
148	21406	122259
149	21529	121999
150	21666	121821
151	21798	121614
152	21927	121390
153	22054	121156
154	22217	121119
155	22344	120889
156	22473	120671
157	22604	120460
158	22753	120352
159	22913	120294
160	23044	120087
161	23176	119889
162	23312	119710
163	23457	119576
164	23596	119413
165	23746	119306
166	23897	119202
167	24026	118988
168	24172	118860
169	24301	118650
170	24427	118421
171	24557	118219
172	24700	118075
173	24829	117871
174	24959	117664
175	25107	117549
176	25241	117365
177	25372	117171
178	25503	116972
179	25629	116755
180	25757	116548
181	25887	116349
182	26015	116147
183	26169	116057
184	26302	115874
185	26428	115661
186	26574	115536
187	26700	115322
188	26825	115106
189	26953	114907
190	27081	114707
191	27208	114504
192	27336	114303
193	27464	114105
194	27589	113895
195	27715	113688
196	27848	113513
197	27987	113362
198	28127	113215
199	28259	113036
200	28405	112914
201	28532	112715
202	28663	112534
203	28808	112411
204	28937	112221
205	29066	112034
206	29192	111835
207	29319	111638
208	29445	111442
209	29589	111311
210	29727	111160
211	29861	110993
212	29986	110794
213	30114	110608
214	30239	110407
215	30368	110225
216	30495	110035
217	30629	109872
218	30767	109722
219	30903	109568
220	31033	109388
221	31170	109235
222	31309	109090
223	31447	108942
224	31581	108779
225	31719	108633
226	31847	108451
227	31975	108267
228	32103	108085
229	32232	107908
230	32359	107726
231	32486	107540
232	32628	107408
233	32757	107231
234	32885	107052
235	33011	106868
236	33137	106681
237	33279	106549
238	33405	106366
239	33530	106179
240	33654	105991
241	33781	105811
242	33911	105642
243	34046	105487
244	34179	105328
245	34312	105170
246	34468	105081
247	34606	104934
248	34740	104779
249	34881	104643
250	35020	104502
251	35155	104351
252	35294	104210
253	35433	104068
254	35570	103920
255	35710	103784
256	35851	103649
257	35991	103509
258	36125	103356
259	36265	103216
260	36398	103060
261	36526	102887
262	36654	102717
263	36780	102538
264	36906	102362
265	37032	102186
266	37185	102087
267	37337	101980
268	37508	101927
269	37699	101927
270	37902	101958
271	38044	101823
272	38175	101662
273	38300	101481
274	38419	101287
275	38537	101091
276	38654	100892
277	38777	100710
278	38899	100525
279	39016	100329
280	39149	100172
281	39262	99966
282	39389	99796
283	39506	99601
284	39631	99426
285	39757	99254
286	39884	99086
287	40009	98912
288	40139	98750
289	40268	98587
290	40396	98424
291	40531	98274
292	40694	98195
293	40825	98037
294	40949	97863
295	41101	97755
296	41257	97657
297	41383	97486
298	41508	97314
299	41646	97175
300	41818	97113
301	41969	97001
302	42094	96831
303	42220	96663
304	42349	96500
305	42475	96334
306	42603	96170
307	42731	96007
308	42868	95864
309	42999	95709
310	43128	95548
311	43260	95394
312	43387	95231
313	43513	95063
314	43639	94897
315	43765	94733
316	43891	94567
317	44015	94398
318	44140	94231
319	44269	94073
320	44393	93904
321	44522	93745
322	44651	93587
323	44775	93420
324	44901	93257
325	45025	93089
326	45153	92930
327	45289	92787
328	45429	92654
329	45556	92494
330	45685	92337
331	45811	92174
332	45938	92015
333	46095	91914
334	46285	91879
335	46419	91733
336	46546	91574
337	46673	91412
338	46818	91289
339	46961	91159
340	47095	91015
341	47223	90857
342	47349	90695
343	47474	90533
344	47606	90383
345	47747	90251
346	47875	90094
347	48001	89933
348	48137	89792
349	48311	89721
350	48484	89647
351	48640	89543
352	48767	89384
353	48894	89225
354	49019	89063
355	49147	88906
356	49275	88750
357	49403	88594
358	49529	88435
359	49654	88275
360	49781	88116
361	49905	87954
362	50070	87864
363	50210	87730
364	50335	87569
365	50461	87411
366	50586	87251
367	50710	87089
368	50834	86928
369	50961	86773
370	51086	86612
371	51215	86460
372	51342	86304
373	51472	86154
374	51599	85998
375	51724	85840
376	51851	85685
377	51989	85548
378	52128	85413
379	52266	85277
380	52396	85127
381	52526	84977
382	52661	84835
