iter	Logloss
0	0.6151045994
1	0.574525882
2	0.5338787813
3	0.5095726334
4	0.4993540147
5	0.4920580297
6	0.483323643
7	0.4754932034
8	0.4701925583
9	0.4598606795
10	0.4571614811
11	0.4530911248
12	0.4484352968
13	0.4444241135
14	0.4409251226
15	0.4385776357
16	0.4359724036
17	0.4345636536
18	0.4295698253
19	0.4237931773
20	0.4231473052
21	0.4193288928
22	0.4157566627
23	0.4123823938
24	0.4118419332
25	0.4109529251
26	0.4082685439
27	0.4061081855
28	0.4032615184
29	0.4009122498
30	0.3985298965
31	0.3956001888
32	0.3933055541
33	0.3927711254
34	0.392338646
35	0.3920345857
36	0.3899213963
37	0.3886886941
38	0.3867418473
39	0.3841637008
40	0.3830334407
41	0.3815080001
42	0.380931022
43	0.3792667461
44	0.3790468951
45	0.3755165283
46	0.3752660575
47	0.3741655902
48	0.3724027848
49	0.3714173977
50	0.3686866403
51	0.3662284816
52	0.3652744108
53	0.3642148601
54	0.3625258057
55	0.3605670444
56	0.3599729481
57	0.3598130264
58	0.3596532977
59	0.3587979829
60	0.3582989838
61	0.3578473823
62	0.356724047
63	0.3563575738
64	0.3557773661
65	0.3547906954
66	0.3532276421
67	0.352110516
68	0.3502116975
69	0.3484012289
70	0.3466928255
71	0.3447294615
72	0.3446127373
73	0.343894805
74	0.3434322754
