iter	Passed	Remaining
0	0	20
1	0	17
2	0	16
3	0	16
4	1	15
5	1	15
6	1	14
7	1	14
8	1	14
9	2	13
10	2	13
11	2	13
12	2	13
13	2	12
14	3	12
15	3	12
16	3	12
17	3	12
18	4	12
19	4	11
20	4	11
21	4	11
22	4	11
23	5	11
24	5	10
25	5	10
26	5	10
27	5	10
28	6	9
29	6	9
30	6	9
31	6	9
32	7	8
33	7	8
34	7	8
35	7	8
36	7	8
37	7	7
38	8	7
39	8	7
40	8	7
41	8	6
42	9	6
43	9	6
44	9	6
45	9	6
46	10	6
47	10	5
48	10	5
49	10	5
50	11	5
51	11	4
52	11	4
53	11	4
54	11	4
55	12	4
56	12	3
57	12	3
58	12	3
59	13	3
60	13	3
61	13	2
62	13	2
63	13	2
64	14	2
65	14	1
66	14	1
67	14	1
68	15	1
69	15	1
70	15	0
71	15	0
72	15	0
73	16	0
74	16	0
